iter	Passed	Remaining
0	110	110472
1	111	55749
2	112	37532
3	114	28483
4	115	22995
5	116	19323
6	117	16704
7	118	14726
8	119	13185
9	120	11950
10	121	10938
11	122	10107
12	123	9398
13	124	8780
14	125	8242
15	126	7772
16	127	7369
17	128	7027
18	129	6704
19	130	6413
20	132	6153
21	133	5913
22	134	5692
23	135	5491
24	136	5305
25	136	5129
26	137	4966
27	138	4816
28	139	4674
29	140	4545
30	141	4435
31	142	4324
32	144	4229
33	145	4134
34	146	4040
35	147	3951
36	148	3865
37	149	3787
38	150	3710
39	151	3636
40	152	3566
41	154	3520
42	155	3458
43	156	3396
44	157	3339
45	159	3299
46	160	3258
47	161	3209
48	162	3159
49	163	3112
50	164	3066
51	165	3020
52	166	2978
53	167	2937
54	168	2903
55	169	2865
56	170	2826
57	171	2790
58	172	2757
59	174	2734
60	175	2705
61	176	2674
62	177	2644
63	178	2615
64	179	2587
65	180	2560
66	181	2533
67	182	2507
68	183	2481
69	184	2454
70	185	2428
71	186	2406
72	188	2396
73	190	2382
74	191	2361
75	192	2340
76	193	2319
77	194	2299
78	195	2279
79	196	2259
80	197	2240
81	198	2223
82	199	2200
83	200	2181
84	201	2164
85	202	2147
86	203	2136
87	204	2121
88	205	2106
89	206	2090
90	207	2074
91	208	2059
92	209	2044
93	210	2030
94	211	2016
95	212	2002
96	213	1987
97	214	1972
98	215	1958
99	216	1945
100	217	1935
101	218	1924
102	219	1913
103	220	1901
104	221	1891
105	222	1879
106	223	1868
107	224	1856
108	225	1845
109	226	1836
110	227	1825
111	228	1813
112	229	1802
113	230	1792
114	231	1782
115	233	1776
116	234	1766
117	235	1759
118	236	1749
119	237	1740
120	238	1730
121	239	1720
122	240	1711
123	241	1702
124	242	1695
125	243	1686
126	243	1675
127	244	1666
128	245	1658
129	246	1649
130	247	1645
131	249	1641
132	250	1634
133	251	1626
134	252	1619
135	253	1612
136	254	1605
137	255	1597
138	256	1590
139	257	1583
140	258	1576
141	259	1567
142	260	1562
143	261	1556
144	263	1553
145	264	1549
146	265	1543
147	266	1536
148	267	1529
149	268	1523
150	269	1516
151	270	1510
152	271	1503
153	272	1497
154	273	1491
155	274	1484
156	275	1478
157	276	1472
158	277	1470
159	279	1467
160	280	1460
161	281	1455
162	282	1449
163	283	1444
164	284	1439
165	285	1433
166	286	1428
167	287	1423
168	288	1417
169	289	1412
170	290	1406
171	291	1401
172	292	1399
173	293	1394
174	294	1389
175	295	1385
176	296	1380
177	297	1375
178	298	1371
179	299	1366
180	301	1363
181	303	1363
182	304	1359
183	306	1358
184	308	1358
185	309	1354
186	310	1351
187	311	1346
188	312	1342
189	313	1337
190	314	1333
191	315	1329
192	316	1324
193	317	1319
194	318	1315
195	319	1310
196	320	1307
197	321	1303
198	323	1300
199	324	1296
200	325	1292
201	326	1289
202	327	1287
203	328	1283
204	329	1279
205	330	1275
206	331	1271
207	332	1267
208	333	1263
209	334	1259
210	337	1262
211	339	1262
212	341	1260
213	342	1257
214	343	1253
215	344	1250
216	345	1246
217	346	1242
218	347	1238
219	348	1234
220	349	1230
221	350	1227
222	351	1224
223	352	1222
224	353	1219
225	354	1215
226	355	1211
227	356	1208
228	357	1204
229	358	1200
230	359	1197
231	360	1194
232	361	1191
233	362	1188
234	363	1184
235	364	1181
236	365	1178
237	366	1174
238	367	1170
239	368	1167
240	369	1163
241	370	1160
242	371	1157
243	372	1155
244	374	1154
245	376	1152
246	377	1151
247	378	1148
248	380	1146
249	381	1144
250	382	1141
251	383	1138
252	384	1135
253	385	1132
254	386	1129
255	388	1127
256	389	1125
257	390	1122
258	391	1119
259	392	1116
260	393	1113
261	394	1109
262	395	1108
263	397	1107
264	398	1105
265	399	1102
266	400	1099
267	401	1097
268	402	1095
269	404	1092
270	405	1089
271	406	1087
272	407	1084
273	408	1081
274	409	1079
275	411	1079
276	412	1076
277	414	1075
278	415	1072
279	416	1070
280	417	1067
281	418	1064
282	419	1061
283	420	1059
284	421	1057
285	422	1054
286	423	1051
287	424	1049
288	425	1047
289	427	1045
290	428	1043
291	429	1040
292	430	1038
293	431	1036
294	432	1034
295	433	1031
296	434	1029
297	435	1026
298	436	1023
299	437	1020
300	438	1017
301	439	1016
302	440	1014
303	441	1011
304	442	1009
305	443	1006
306	444	1004
307	445	1001
308	447	999
309	448	997
310	449	994
311	449	992
312	450	989
313	451	986
314	452	984
315	453	981
316	454	980
317	456	978
318	457	976
319	458	973
320	459	971
321	460	968
322	461	966
323	462	964
324	463	961
325	463	959
326	465	957
327	465	954
328	466	952
329	467	949
330	468	947
331	469	945
332	471	943
333	472	941
334	473	939
335	474	937
336	475	935
337	476	932
338	477	930
339	478	928
340	479	926
341	480	924
342	481	921
343	482	919
344	483	917
345	484	915
346	485	913
347	486	911
348	487	908
349	488	906
350	489	904
351	490	902
352	491	900
353	492	898
354	493	896
355	494	894
356	495	892
357	496	889
358	497	887
359	498	885
360	499	884
361	500	882
362	502	881
363	504	881
364	505	879
365	507	878
366	507	876
367	508	873
368	509	871
369	510	869
370	512	868
371	512	865
372	515	865
373	517	865
374	519	865
375	520	864
376	521	862
377	522	860
378	523	858
379	524	855
380	525	853
381	526	851
382	527	849
383	528	848
384	530	847
385	532	846
386	533	844
387	534	843
388	535	841
389	536	839
390	538	838
391	539	836
392	540	834
393	540	832
394	542	830
395	543	828
396	545	827
397	546	826
398	547	824
399	548	822
400	549	820
401	550	819
402	551	817
403	552	815
404	554	814
405	555	812
406	556	810
407	556	808
408	557	806
409	558	804
410	559	802
411	561	800
412	562	799
413	563	797
414	564	795
415	565	793
416	566	791
417	567	789
418	568	787
419	569	785
420	569	783
421	570	781
422	571	780
423	572	778
424	574	776
425	575	775
426	576	773
427	577	771
428	578	769
429	579	767
430	579	765
431	580	763
432	581	761
433	582	759
434	583	758
435	584	756
436	585	754
437	586	752
438	587	750
439	588	748
440	589	747
441	590	745
442	591	744
443	592	742
444	593	740
445	594	738
446	595	737
447	596	735
448	597	733
449	598	731
450	599	729
451	600	727
452	601	726
453	602	724
454	603	722
455	603	720
456	605	719
457	606	717
458	607	715
459	608	714
460	610	713
461	611	712
462	613	710
463	614	709
464	615	707
465	616	706
466	617	704
